id,visible_area,match_id,teammate,actor,keeper,location
3a06bcce-1408-4a0b-be01-f6b93f142b30,"[16.790809884016703, 80.0, 45.14567292507089, 0.0, 69.55842920428263, 0.0, 93.04865728697584, 80.0, 16.790809884016703, 80.0]",3857276,True,False,False,"[57.29040009762855, 55.18581049567367]"
3a06bcce-1408-4a0b-be01-f6b93f142b30,"[16.790809884016703, 80.0, 45.14567292507089, 0.0, 69.55842920428263, 0.0, 93.04865728697584, 80.0, 16.790809884016703, 80.0]",3857276,False,False,False,"[57.420172562965476, 15.960884972871021]"
3a06bcce-1408-4a0b-be01-f6b93f142b30,"[16.790809884016703, 80.0, 45.14567292507089, 0.0, 69.55842920428263, 0.0, 93.04865728697584, 80.0, 16.790809884016703, 80.0]",3857276,True,False,False,"[57.6266232158467, 0.4910240265169321]"
3a06bcce-1408-4a0b-be01-f6b93f142b30,"[16.790809884016703, 80.0, 45.14567292507089, 0.0, 69.55842920428263, 0.0, 93.04865728697584, 80.0, 16.790809884016703, 80.0]",3857276,False,False,False,"[58.25078689575283, 62.85334182593842]"
3a06bcce-1408-4a0b-be01-f6b93f142b30,"[16.790809884016703, 80.0, 45.14567292507089, 0.0, 69.55842920428263, 0.0, 93.04865728697584, 80.0, 16.790809884016703, 80.0]",3857276,True,False,False,"[61.32597129131673, 12.002576905477632]"
3a06bcce-1408-4a0b-be01-f6b93f142b30,"[16.790809884016703, 80.0, 45.14567292507089, 0.0, 69.55842920428263, 0.0, 93.04865728697584, 80.0, 16.790809884016703, 80.0]",3857276,False,False,False,"[63.34459537666221, 38.01457770092825]"
3a06bcce-1408-4a0b-be01-f6b93f142b30,"[16.790809884016703, 80.0, 45.14567292507089, 0.0, 69.55842920428263, 0.0, 93.04865728697584, 80.0, 16.790809884016703, 80.0]",3857276,False,False,False,"[63.78959218865502, 49.956459987704534]"
3a06bcce-1408-4a0b-be01-f6b93f142b30,"[16.790809884016703, 80.0, 45.14567292507089, 0.0, 69.55842920428263, 0.0, 93.04865728697584, 80.0, 16.790809884016703, 80.0]",3857276,True,False,False,"[64.40354445348872, 40.47646315558345]"
3a06bcce-1408-4a0b-be01-f6b93f142b30,"[16.790809884016703, 80.0, 45.14567292507089, 0.0, 69.55842920428263, 0.0, 93.04865728697584, 80.0, 16.790809884016703, 80.0]",3857276,True,False,False,"[66.66207651160835, 80.79071240037752]"
3a06bcce-1408-4a0b-be01-f6b93f142b30,"[16.790809884016703, 80.0, 45.14567292507089, 0.0, 69.55842920428263, 0.0, 93.04865728697584, 80.0, 16.790809884016703, 80.0]",3857276,False,False,False,"[69.40084068775516, 20.290438299444084]"
3a06bcce-1408-4a0b-be01-f6b93f142b30,"[16.790809884016703, 80.0, 45.14567292507089, 0.0, 69.55842920428263, 0.0, 93.04865728697584, 80.0, 16.790809884016703, 80.0]",3857276,False,False,False,"[74.26019623314247, 36.89785380539863]"
3a06bcce-1408-4a0b-be01-f6b93f142b30,"[16.790809884016703, 80.0, 45.14567292507089, 0.0, 69.55842920428263, 0.0, 93.04865728697584, 80.0, 16.790809884016703, 80.0]",3857276,False,False,False,"[76.11721496817925, 49.10263454198368]"
3a06bcce-1408-4a0b-be01-f6b93f142b30,"[16.790809884016703, 80.0, 45.14567292507089, 0.0, 69.55842920428263, 0.0, 93.04865728697584, 80.0, 16.790809884016703, 80.0]",3857276,False,False,False,"[78.51538627993679, 67.75770565152413]"
d9f8538d-a5cd-4ed6-8f04-bd8394133fb1,"[12.52204406227374, 80.0, 43.00190550863826, 4.777165927924861, 66.83294440480951, 6.896687836357998, 81.08169182477263, 80.0, 12.52204406227374, 80.0]",3857276,True,True,False,"[30.5, 59.0]"
